Ticker,MMBuy,MMSell,AI1-Average,AI1-Previous,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-Previous,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-Previous,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-Previous,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC21-Previous,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-Previous,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
AAR,,,20000,20000,27,20000,350,66,18000,318,19900,19900,39,19900,52,,,0,20000,20000,,,0,,,0,17144.33,16000,74,17900,882,98,16000,244,6777.08,,3,16200,3,,,0,17884.41,18400,6,18400,6,1,17000,5
ABH,,,50788.64,50700,62,54200,1532,100,50300,1242,58000,58000,80,58000,370,94,51100,221,53000,53000,10,55000,10,,,0,50900,50900,32,50900,1682,14,49000,1022,24111.88,,27,65000,27,,,0,52100,52100,57,54500,830,250,52100,730
ACS,,,150000,150000,58,159000,72,10,140000,10,161300.57,160000,3,165000,29,6,160000,38,74706.55,,,,0,,,0,169000,169000,8,159000,45,10,150000,10,124000,124000,,,0,,,0,159000,159000,18,159000,20,1,151000,5
ADE,,,64100,64100,24,64100,202,20,47000,1434,69375,70000,32,70000,243,2,42500,107,43000,43000,4,47000,4,,,0,62000,62000,41,62000,317,18,45500,514,21239.53,,26,60000,26,,,0,59956.24,61600,31,61600,543,6,42000,1002
ADR,70000,,71300,71300,5,125000,55,46,71300,166,107055.93,110000,20,110000,114,50,85000,150,60000,60000,,,0,,,0,70069.2,70000,19,100000,69,1,71000,111,29140.78,,,,0,,,0,82500.01,85000,10,150000,10,50,72200,180
ADS,,,130290.75,132000,5,132000,123,2,116000,17,141138.32,125000,2,125000,6,10,104000,23,250000,250000,,,0,,,0,136500,138000,9,139000,42,10,113000,23,55163.27,,1,128000,1,,,0,165000,165000,75,165000,106,3,125000,24
AEF,,,6400,6400,7,8670,975,315,6400,2335,15000,15000,377,15000,502,44,7000,1042,40,40,76,9000,113,,,0,7000,7000,39,9800,937,36,7000,1300,10000,10000,6,10000,290,,,0,6580,6580,300,6690,2349,184,4250,3000
AEN,,,2240000,2240000,1,2230000,3,,,0,2065577.6,2180000,2,2150000,7,,,0,990267,,,,0,,,0,2000000,2000000,1,2290000,2,2,1200000,4,990267,,,,0,,,0,2500000,2500000,1,2600000,1,,,0
AFP,,,30000,30000,,,0,,,0,30000,30000,,,0,,,0,134412.7,,,,0,,,0,30000,30000,,,0,16,40000,16,134412.7,,,,0,,,0,35000,35000,,,0,3,35000,3
AFR,,,26623.82,27000,8,28000,19,100,22000,277,25000,25000,12,25000,12,41,20500,193,9504.3,,,,0,,,0,21000,21000,,,0,10,18000,30,9504.3,,,,0,,,0,20200,20200,7,25000,7,13,20200,33
AGS,,,490000,490000,2,490000,3,,,0,480000,480000,4,480000,5,,,0,500000,500000,,,0,,,0,719124.14,795000,1,800000,1,2,450000,2,222767.28,,,,0,,,0,799000,799000,1,799000,2,,,0
AHP,,,14500,14500,200,13000,1592,,,0,14500,14500,58,14500,179,,,0,5713.72,,,,0,,,0,12959.44,12500,97,12000,2711,10,9510,209,5713.72,,,,0,,,0,20000,20000,,,0,,,0
AIR,200000,,200000,200000,4,220000,4,100,200000,100,200000,200000,20,209000,341,100,200000,100,91179.59,,,,0,,,0,200000,200000,50,201000,309,100,200000,100,91179.59,,,,0,,,0,200000,200000,26,210000,30,100,200000,100
AL,,,1310,1310,20,1320,58948,25,1310,137096,1350,1350,1000,1420,16785,4,1280,13781,1280,1280,43,1350,10796,3000,1100,9007,1600,1600,1967,1600,59763,5,1450,19421,699.22,1100,2000,1000,12139,,,0,1400,1400,87,1400,13300,20,1240,2574
ALE,,,1350,1350,12,1370,37962,3544,1350,15336,1160,1160,278,1200,17684,1676,1160,2026,1700,1700,640,1700,840,,,0,1360,1360,952,1370,42887,1843,1350,8777,1490,1490,1922,1490,2311,50,1200,64,1340,1340,527,1340,31713,776,1240,5971
ALG,80,,281,281,8964,320,55910,6,281,19657,349,349,2142,349,21160,2379,300,4115,350,350,1467,350,1467,,,0,256,256,2135,299,29366,1252,256,3637,316,316,,,0,1000,200,1000,341,341,686,341,13465,200,260,7737
ALO,42,,252,252,145,330,100135,3874,252,66576,350,350,2235,350,23449,24,335,22772,201.2,182,347,299,30828,517,182,11835,373,373,140,373,107618,146,369,35666,260.84,290,1900,290,3397,500,200,500,324,324,100,324,71979,400,292,46835
ALR,,,1400,1400,9,1390,3045,120,700,250,3210,3210,1486,3210,2370,,,0,1345.41,,,,0,,,0,3150,3150,1246,3150,7987,1000,1000,1000,1345.41,,,,0,,,0,3690,3690,554,3690,3603,,,0
AMM,61,,160,160,941,160,57466,4596,120,22697,145,145,20734,145,86752,2098,122,136451,135,135,7577,135,7577,350,110,2350,189,189,9,189,70143,3800,174,48301,160,160,800,160,800,200,140,5985,175,175,835,195,63424,7412,162,28028
ANZ,,,73626.71,,1,125000,1,,,0,73626.71,,1,120000,1,,,0,73626.71,,,,0,,,0,73626.71,,,,0,,,0,70600.55,,,,0,,,0,73626.71,,,,0,,,0
APT,,,13936.53,13900,87,13900,1915,,,0,19800,19800,132,19800,173,,,0,6945.84,,,,0,,,0,16500,16500,405,16500,517,,,0,6945.84,,,,0,,,0,2000,2000,,,0,,,0
AR,83,,559.41,544,83,544,20719,200,512,41507,670,670,616,670,10079,200,501,14712,450,450,,,0,1000,350,2000,648,648,2867,648,17276,308,520,13223,700,700,550,700,2300,400,200,500,716.77,723,3388,723,33943,142,600,1951
ARP,,,10000,10000,4,9500,103,,,0,10000,10000,5,10000,5,,,0,4648.62,,,,0,,,0,8500,8500,34,8500,37,,,0,4648.62,,,,0,,,0,13000,13000,,,0,,,0
ASE,,,54000,54000,1,54000,1921,10,51000,1559,54327.68,55000,116,55000,1471,6,45200,606,55000,55000,21,55000,21,10,33000,10,50500,50500,8,50500,1351,13,47000,358,60000,60000,16,60000,16,,,0,45100,45100,52,53500,625,176,45100,474
AST,,,2649.49,3190,40,3190,6845,100,2200,2365,3700,3700,2387,3700,6382,132,3000,632,1776.4,,100,10000,100,,,0,3784.24,3990,314,3990,7330,50,3400,2623,2000,2000,100,4740,100,,,0,3650,3650,109,3650,2372,100,1500,100
ATA,,,30800,30800,2,30800,396,100,27900,794,31656.25,32000,38,32000,366,4,22000,379,28000,28000,,,0,,,0,28000,28000,9,28000,914,95,27200,1264,38000,38000,24,38000,24,,,0,29219.73,28700,2,28700,318,62,26000,116
ATP,,,50000,50000,5,50000,48,2,41000,2,30000,30000,,,0,,,0,12377.3,,,,0,,,0,40000,40000,,,0,50,40000,50,12377.3,,,,0,,,0,25000,25000,,,0,40,27200,40
AU,,,2430,2430,9,2890,7293,20,2430,4660,1610,1610,51,2540,2699,115,1610,4030,950,950,10,2200,10,,,0,2552.73,2580,11,2580,11832,114,2020,3077,998,998,51,1700,102,,,0,2524.79,2310,58,3910,2205,759,2310,2427
AUO,137,,477,477,687,599,31055,684,477,8624,369.46,390,241,390,2354,2000,260,4692,300,300,,,0,,,0,389,389,48,389,59264,1000,330,15069,280,280,,,0,,,0,425,425,2934,425,25319,600,225,3803
AWF,,,5700,5700,9,5700,22,25,4500,114,5680,5680,50,5680,498,20,4000,20,2951.99,,,,0,,,0,5000,5000,51,12000,51,3,5000,173,2951.99,,5,5950,5,,,0,6796.72,6000,13,7400,40,,,0
AWH,,,19559.17,19500,78,19500,368,,,0,24500,24500,198,24500,208,388,15800,488,8430.92,,100,30000,100,,,0,21286.7,25000,18,25000,82,5,20000,277,8430.92,,,,0,,,0,25000,25000,,,0,,,0
BAC,,,3408.06,3500,633,3500,1393,295,3100,1815,3200,3200,703,3200,703,500,2800,1600,1280.91,,,,0,,,0,3400,3400,482,3400,1628,230,2600,4060,1280.91,,10,2250,10,,,0,3109.51,3500,136,3500,136,40,2650,1770
BAI,,,16021.73,14700,14,16200,2278,372,14700,372,14834.55,16000,1,15000,333,50,14000,70,6821.51,,,,0,,,0,17000,17000,76,17000,232,500,14500,500,6821.51,,,,0,,,0,16266.67,16300,6,16200,52,,,0
BBH,750,2900,2900,2900,100,2900,2117,593,2890,1977,2890,2890,100,2900,9475,1000,2880,2979,2900,2900,154,2900,154,200,2800,252,2900,2900,100,2900,4140,1220,2890,4520,3000,3000,488,3000,1014,124,2000,135,2900,2900,100,2900,15263,844,2890,3075
BCO,,,774.42,775,1610,775,29617,1670,750,15981,765.79,880,2143,880,5814,1500,710,8510,660,660,400,1000,400,200,780,200,760,760,990,766,17237,480,692,12543,640,640,,,0,,,0,803.32,806,160,848,6153,1232,680,5196
BDE,850,2700,2700,2700,100,2700,100,1079,2690,3566,2670,2670,1181,2690,1281,990,2670,3412,2700,2700,190,2800,190,10,879,32,2690,2690,100,2700,2518,517,2690,6618,2700,2700,71,2700,279,90,1800,90,2700,2700,100,2700,101,461,2690,1594
BE,,,2569.51,2200,681,2800,13161,300,1950,11440,1900,1900,335,2490,1523,292,1900,2975,2900,2900,42,2900,142,,,0,2390,2390,2833,2400,10896,1000,2000,10015,1700,1700,18,1700,18,,,0,2366.88,2990,6,2980,236,22,2000,2642
BEA,84,,300,300,15,320,20582,9427,300,24756,378.14,383,1173,383,13683,548,330,13106,250,250,,,0,,,0,498.02,499,1543,499,1851,601,320,15704,250,250,16,400,16,757,250,757,320,320,60,349,2454,1167,320,30454
BER,,,739,739,473,739,29934,1494,450,23495,899,899,107,899,1107,2000,353,18945,400,400,,,0,,,0,598,598,1400,598,30194,1500,452,17248,117.55,,50,551,50,,,0,492.75,353,154,797,5500,3000,325,5000
