Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
AAR,,,20000,24,20000,347,66,18000,318,19900,3,19900,16,,,0,20000,,,0,,,0,17900,59,17900,867,98,16000,244,6777.080078125,3,16200,3,,,0,35000,2,35000,2,1,17000,5
ABH,,,50360.4609375,52,53700,1791,25,51500,1255,51100,10,56000,553,199,55000,326,53000,10,55000,10,,,0,50000,648,50000,2260,10,37500,281,24111.880859375,27,65000,27,,,0,55324.37109375,64,55500,397,225,52100,705
ACS,,,150000,58,159000,72,10,140000,10,160000,1,164000,30,4,160000,36,74706.546875,,,0,,,0,169000,8,159000,45,10,150000,10,124000,,,0,,,0,159000,18,159000,20,1,151000,5
ADE,,,61900,53,62000,245,20,47000,1434,42375,4,69500,459,75,55100,321,43000,4,47000,4,,,0,42000,66,59500,1195,500,42500,746,21239.529296875,26,60000,26,,,0,61745.75,36,61800,182,16,43000,1018
ADR,70000,,71300,5,125000,55,46,71300,166,110000,19,110000,113,50,85000,150,60000,,,0,,,0,70069.203125,4,99000,73,1,71000,111,29140.779296875,,,0,,,0,82500.0078125,1,125000,11,50,72200,180
ADS,,,132000,2,132000,120,2,116000,17,137500,1,155000,3,10,104000,23,250000,,,0,,,0,139000,3,139000,36,1,126000,24,55163.26953125,1,128000,1,,,0,165000,69,165000,100,3,125000,24
AEF,,,8690,196,8690,1028,315,6400,2335,7000,105,9390,893,8,7000,996,40,76,9000,113,,,0,6400,10,9090,1407,353,6400,1146,10000,6,10000,385,,,0,6420,72,6420,2108,184,4250,3000
AEN,,,2240000,1,2180000,3,,,0,2067145.25,4,2130000,7,,,0,990267,,,0,,,0,2000000,1,2290000,2,2,1200000,4,990267,,,0,,,0,2500000,1,2600000,1,,,0
AFP,,,30000,,,0,,,0,30000,,,0,,,0,134412.703125,,,0,,,0,30000,,,0,16,40000,16,134412.703125,,,0,,,0,35000,,,0,3,35000,3
AFR,,,26623.48046875,8,28000,19,100,22000,277,25000,12,25000,12,41,20500,193,9504.2998046875,,,0,,,0,21000,,,0,10,18000,30,9504.2998046875,,,0,,,0,22000,7,25000,7,13,20200,33
AGS,,,490000,2,490000,3,,,0,480000,4,535000,5,,,0,500000,,,0,,,0,795000,6,750000,7,2,450000,2,222767.28125,,,0,,,0,799000,1,799000,2,,,0
AHP,,,12972.0595703125,224,12900,1672,,,0,14500,22,14500,143,,,0,5713.72021484375,,,0,,,0,12933.900390625,97,12000,2723,10,9510,209,5713.72021484375,,,0,,,0,20000,,,0,,,0
AIR,200000,,200000,23,201000,127,100,200000,100,200000,20,209000,341,100,200000,100,91179.59375,,,0,,,0,201000,40,201000,299,100,200000,100,91179.59375,,,0,,,0,200000,26,210000,30,100,200000,100
AL,,,1390,2760,1390,53726,9099,1300,41163,1420,20,1420,16764,300,1410,14521,1280,43,1350,10436,3000,1100,9007,1600,536,1600,60364,70,1320,18533,990,2000,1000,11139,,,0,2786.929931640625,1000,2770,16470,12,1340,7312
ALE,,,1500,211,1500,35612,358,1370,15248,1300,2951,1300,16056,76,1200,1992,1700,640,1700,840,,,0,1400,152,1400,42087,198,1350,12132,1490,1824,1490,2213,50,1200,64,1330,463,1330,32180,69,1230,5022
ALG,80,,320,8610,320,55557,6,281,19657,344,2677,339,22027,400,315,5315,350,1467,350,1467,,,0,256,2300,335,23031,1240,256,3625,316,,,0,1000,200,1000,340,748,340,13502,48,232,7448
ALO,42,,309,2578,309,123584,2220,281,75765,320,188,299,42186,1400,200,17086,197.91000366210938,347,299,30828,517,182,11835,370,4468,370,110989,212,285,32400,264.5299987792969,1900,290,3397,500,200,500,306,1481,304,70917,459,270,44594
ALR,,,1400,9,1390,3045,120,700,250,2320.830078125,1486,3210,2370,,,0,1345.4100341796875,,,0,,,0,1000,1246,3150,7987,862,1000,862,1345.4100341796875,,,0,,,0,2000,494,3690,3543,,,0
AMM,61,,163,1772,163,61212,1500,140,27197,143,787,143,90546,20,124,138531,135,7377,135,7377,350,110,2350,174,5903,185,62047,365,174,44866,160,800,160,800,200,140,5985,194,189,194,58171,5903,162,26392
ANZ,,,73626.7109375,1,125000,1,,,0,73626.7109375,1,120000,1,,,0,73626.7109375,,,0,,,0,73626.7109375,,,0,,,0,70600.546875,,,0,,,0,73626.7109375,,,0,,,0
APT,,,13936.5302734375,87,13900,1915,,,0,18992.119140625,139,19500,312,,,0,6945.83984375,,,0,,,0,16500,405,16500,517,,,0,6945.83984375,,,0,,,0,2000,,,0,,,0
AR,83,,563.8499755859375,923,578,17765,3740,511,37001,660,2150,660,13386,1000,520,15712,450,,,0,1000,350,2000,647,18,624,23864,308,520,13223,700,550,700,2300,400,200,500,722,1604,722,32997,274,650,2225
ARP,,,10000,4,9500,103,,,0,10000,5,10000,5,,,0,4648.6201171875,,,0,,,0,8442.330078125,7,8500,10,,,0,4648.6201171875,,,0,,,0,13000,,,0,,,0
ASE,,,51000,32,51900,1965,160,50500,1539,45200,30,52900,1672,132,49000,737,55000,21,55000,21,10,33000,10,46000,700,50000,1943,5,33000,129,60000,16,60000,16,,,0,45500,10,53500,456,20,45800,497
AST,,,3190,8,3190,7064,100,2200,2365,3700,1787,3700,5782,132,3000,632,1776.4000244140625,100,10000,100,,,0,3400,276,3990,7292,50,3300,2573,2000,100,4740,100,,,0,3650,354,3640,2576,100,1500,100
ATA,,,27900,13,30900,397,100,27800,694,32000,22,32000,388,66,29000,443,28000,,,0,,,0,27000,11,28300,860,17,24600,886,38000,24,38000,24,,,0,31678.16015625,80,32000,91,20,26500,136
ATP,,,50000,5,50000,48,2,41000,2,30000,,,0,,,0,12377.2998046875,,,0,,,0,40000,,,0,50,40000,50,12377.2998046875,,,0,,,0,25000,,,0,40,27200,40
AU,,,4890,38,4890,6772,25,2420,4640,2500,50,2490,2305,115,1610,4030,950,10,2200,10,,,0,2800,20,2490,11523,2,2030,2965,998,51,1700,102,,,0,2300,162,3910,2099,298,2300,1666
AUO,137,,598,302,598,31357,100,331,7800,393.5400085449219,117,390,1667,2000,265,4648,300,,,0,,,0,400,4515,400,57651,2000,332,10608,280,,,0,,,0,425,2435,425,24820,33,250,3836
AWF,,,5700,9,5700,22,25,4500,114,5680,48,5680,496,20,4000,20,2951.989990234375,,,0,,,0,11900,40,11900,91,3,5000,173,2951.989990234375,5,5950,5,,,0,6764.2900390625,13,7400,40,,,0
AWH,,,19559.169921875,198,19500,488,,,0,24500,198,24500,208,388,15800,488,8430.919921875,100,30000,100,,,0,20000,12,20000,94,90,13600,272,8430.919921875,,,0,,,0,25000,,,0,,,0
BAC,,,3490,200,3400,2108,500,3100,2020,3200,686,3200,686,500,2800,1600,1280.9100341796875,,,0,,,0,2600,10,3390,1617,228,2600,4058,2250,,,0,,,0,3480,50,3470,226,40,2650,1770
BAI,,,16053.759765625,14,16200,2278,372,14700,372,14857.759765625,1,15000,333,50,14000,70,6821.509765625,,,0,,,0,16970.220703125,25,16800,316,500,14500,500,6821.509765625,,,0,,,0,16031.9697265625,6,16200,52,,,0
BBH,750,2900,2900,100,2900,2117,500,2890,1888,2900,100,2900,9475,8,2500,594,2800,154,2900,154,164,2800,216,2900,100,2900,4157,617,2890,3913,3000,488,3000,1014,124,2000,125,2900,100,2900,15266,697,2890,2907
BCO,,,788,290,788,30757,970,750,18281,880,2183,880,12854,1500,710,8510,660,400,1000,400,200,780,200,764,2474,764,20581,480,692,12543,640,,,0,,,0,815,30,818,9417,1250,700,5696
BDE,850,2700,2700,100,2700,100,1012,2690,3501,2510,3,2680,2196,348,2510,627,2800,189,2800,189,10,879,30,2690,100,2700,2538,867,2690,5966,2700,71,2700,279,90,1800,90,2700,100,2700,104,352,2690,1486
BE,,,2794.5400390625,200,2700,13322,500,2100,11906,1900,335,2490,1523,292,1900,2975,2900,42,2900,142,,,0,2400,2739,2400,10802,1000,2000,10015,1700,18,1700,18,,,0,2432.2900390625,13,2900,243,22,2000,2642
BEA,84,,339.55999755859375,9449,350,20943,8779,300,24108,365,2648,377,14104,200,365,12822,250,,,0,,,0,450.8599853515625,1463,499,2751,472,320,15575,250,16,400,16,757,250,757,320,476,450,961,247,320,27636
BER,,,739,402,739,29863,1500,460,24995,586.75,107,874,2146,2000,353,9103,400,,,0,,,0,599,2604,598,26200,1500,452,17248,117.55000305175781,50,551,50,,,0,490.75,154,797,5500,3000,325,5000
BFP,,,26000,8,25000,8,,,0,25000,,,0,,,0,20233.01953125,,,0,,,0,24000,,,0,,,0,20224.419921875,,,0,,,0,25000,,,0,,,0
BFR,,,4500,1,66700,1,78,4500,78,6100,50,8000,87,16,6100,266,2515.4599609375,,,0,,,0,5839.97998046875,3,6500,3,19,5000,243,2515.4599609375,,,0,,,0,4000,,,0,46,4000,46
BGC,,,839,764,839,20304,1000,682,17616,844.4299926757812,1973,845,2537,500,660,2457,600,,,0,,,0,744.7899780273438,1124,799,7050,1980,610,16506,500,200,675,200,,,0,749.8300170898438,3284,740,10882,19,652,770
BGO,,,4160,50,4150,12686,611,3410,7763,2440,200,3970,2992,450,2450,3017,2000,70,3000,70,,,0,3080,8,3080,8110,222,2710,5763,2100,70,2800,167,3,2100,100,3630,103,3500,2530,5,1800,355
BGS,,,214000,1,214000,9,2,60000,2,228000,4,218000,5,,,0,87625.203125,,,0,,,0,250000,1,219000,2,,,0,87625.203125,,,0,,,0,219514.703125,1,219000,19,,,0
BHP,,,5596.39013671875,20,5770,1085,1,5510,1856,5708.22021484375,47,5780,957,36,4020,1085,1500,,,0,,,0,5290,10,5290,11670,10,5150,3550,4750,31,5000,150,,,0,6300,31,6300,915,23,4660,358
BID,,,70000,24,69900,238,,,0,60000,53,80000,53,,,0,24575.119140625,,,0,,,0,55000,3,70000,253,,,0,24575.119140625,49,70000,49,,,0,80000,7,80000,13,,,0
BL,,,6880,48,6880,805,1,6010,945,7940,60,7950,261,1,7940,27,4500,,,0,,,0,7000,4,8990,493,2,7000,404,2986.699951171875,10,7500,10,,,0,6600,140,6880,485,15,6600,31
BLE,,,2990,163,2990,2062,95,1750,595,2250,208,2250,2490,33,1000,33,1804.3399658203125,,,0,,,0,1400,194,2090,3359,253,1400,1391,1804.3399658203125,10,2300,10,,,0,2200,60,2190,742,,,0
BMF,,,32000,57,32000,644,112,28000,612,33000,7,33000,382,,,0,10946.0302734375,,,0,5,22000,5,31000,288,31000,618,11,26500,71,60000,29,60000,29,,,0,31000,1,31000,409,1,20000,1
BND,,,230,209,230,210,,,0,325,135,325,135,,,0,270.1499938964844,,,0,,,0,323,,,0,10,150,10,500,,,0,,,0,155,,,0,,,0
