Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
AAR,,,20000,5,20000,329,66,18000,306,27519.05078125,10,34800,10,,,0,20000,,,0,,,0,20000,149,20000,299,50,16200,242,6777.080078125,3,16200,3,,,0,29900,10,29900,39,1,17000,20
ABH,,,52500,200,54800,1397,245,52500,1301,62200,10,62200,631,40,52000,127,53000,10,55000,10,,,0,50900,237,50900,831,300,48600,1379,24111.880859375,27,65000,27,,,0,56800,125,56700,687,40,52000,404
ACS,,,159000,48,159000,49,10,140000,10,160000,16,163000,71,6,160000,48,74706.546875,,,0,,,0,159000,5,159000,41,10,150000,10,124000,,,0,,,0,159000,18,159000,20,1,151000,5
ADE,,,63700,56,63300,353,200,50300,1406,59360,83,59400,810,40,42200,95,47000,,,0,,,0,50100,16,58900,818,440,50100,984,21239.529296875,26,60000,26,,,0,62466.671875,25,62500,152,250,45200,1078
ADR,70000,,71300,5,125000,55,46,71300,166,110000,18,110000,112,1,86000,151,60000,,,0,,,0,99500,17,100000,67,1,75000,111,29140.779296875,,,0,,,0,82500.03125,4,90000,14,50,72200,180
ADS,,,134000,21,134000,98,2,116000,19,160000,4,160000,4,9,104000,22,250000,,,0,,,0,138000,1,138000,36,10,113000,23,55163.26953125,1,128000,1,,,0,150000,15,150000,114,3,125000,24
AEF,,,6400,107,7000,2535,64,6400,2084,6320,43,6320,1414,250,5650,1175,40,76,9000,228,,,0,7381.759765625,28,7400,1628,225,5800,1018,10000,10,10000,384,,,0,5870,37,5870,1972,6,4500,3006
AEN,,,2240000,2,2170000,4,,,0,2180000,1,2120000,8,,,0,990267,,,0,,,0,2000000,1,2290000,2,2,1200000,4,990267,,,0,,,0,2600000,1,2700000,1,,,0
AFP,,,30000,,,0,,,0,30000,,,0,,,0,134412.703125,,,0,,,0,30000,,,0,16,40000,16,134412.703125,,,0,,,0,35000,,,0,3,35000,3
AFR,,,26623.48046875,8,28000,19,100,22000,277,25000,,,0,41,20500,193,9504.2998046875,,,0,,,0,21000,,,0,10,18000,30,9504.2998046875,,,0,,,0,22502.76953125,,,0,25,22500,58
AGS,,,490000,1,490000,5,,,0,480000,4,535000,5,,,0,500000,,,0,,,0,795000,6,750000,7,2,450000,2,222767.28125,,,0,,,0,799000,1,799000,2,,,0
AHP,,,11500,60,11500,1660,,,0,14500,21,14500,142,,,0,5713.72021484375,,,0,,,0,16742.26953125,184,16800,2705,10,9510,209,5713.72021484375,,,0,,,0,20000,,,0,,,0
AIR,200000,,200000,63,201000,104,100,200000,100,200000,500,208000,541,100,200000,100,91179.59375,,,0,,,0,200000,38,201000,297,100,200000,100,91179.59375,,,0,,,0,200000,26,210000,30,100,200000,100
AL,,,1400,32,1470,36240,9574,1400,32420,1500,941,1500,10124,5,1400,12510,1187.6800537109375,43,1350,8425,2862,1100,8867,1600,521,1540,64183,3,1440,22709,1030,1429,1100,8939,,,0,2820,359,2820,12322,10,1440,7347
ALE,,,1530,1275,1530,54219,62,1430,4592,1280,235,1280,14893,2000,1000,2152,1700,640,1700,840,,,0,1350,1298,1350,46080,30,1340,9464,1490,1819,1490,2208,50,1200,64,1330,244,1330,26416,100,1180,4121
